hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate
NHS Ayrshire & Arran,2015,Both Sexes,00-14,144,247.34
NHS Borders,2015,Both Sexes,00-14,41,229.89
NHS Dumfries & Galloway,2015,Both Sexes,00-14,51,228.55
NHS Fife,2015,Both Sexes,00-14,95,158.52
NHS Forth Valley,2015,Both Sexes,00-14,107,216.77
NHS Grampian,2015,Both Sexes,00-14,114,123.01
NHS Greater Glasgow & Clyde,2015,Both Sexes,00-14,551,306.06
NHS Highland,2015,Both Sexes,00-14,112,224.42
NHS Lanarkshire,2015,Both Sexes,00-14,306,276.72
NHS Lothian,2015,Both Sexes,00-14,382,279.19
NHS Orkney,2015,Both Sexes,00-14,1,30.71
NHS Shetland,2015,Both Sexes,00-14,1,24.87
NHS Tayside,2015,Both Sexes,00-14,140,220.81
NHS Western Isles,2015,Both Sexes,00-14,5,121.51
Other,2015,Both Sexes,00-14,25,-
NHSScotland,2015,Both Sexes,00-14,2075,243.41
NHS Ayrshire & Arran,2015,Both Sexes,15-24,70,162.23
NHS Borders,2015,Both Sexes,15-24,14,119.85
NHS Dumfries & Galloway,2015,Both Sexes,15-24,11,68.45
NHS Fife,2015,Both Sexes,15-24,52,113.08
NHS Forth Valley,2015,Both Sexes,15-24,27,70.99
NHS Grampian,2015,Both Sexes,15-24,41,54.41
NHS Greater Glasgow & Clyde,2015,Both Sexes,15-24,195,125.35
NHS Highland,2015,Both Sexes,15-24,25,72.35
NHS Lanarkshire,2015,Both Sexes,15-24,90,114.52
NHS Lothian,2015,Both Sexes,15-24,151,130.98
NHS Orkney,2015,Both Sexes,15-24,3,125.37
NHS Shetland,2015,Both Sexes,15-24,1,37.29
NHS Tayside,2015,Both Sexes,15-24,35,63.83
NHS Western Isles,2015,Both Sexes,15-24,4,152.03
Other,2015,Both Sexes,15-24,8,-
NHSScotland,2015,Both Sexes,15-24,727,107.42
NHS Ayrshire & Arran,2015,Both Sexes,25-34,53,133.6
NHS Borders,2015,Both Sexes,25-34,11,108.11
NHS Dumfries & Galloway,2015,Both Sexes,25-34,14,95.68
NHS Fife,2015,Both Sexes,25-34,62,147.4
NHS Forth Valley,2015,Both Sexes,25-34,16,46.33
NHS Grampian,2015,Both Sexes,25-34,54,64.55
NHS Greater Glasgow & Clyde,2015,Both Sexes,25-34,159,93.53
NHS Highland,2015,Both Sexes,25-34,17,49.82
NHS Lanarkshire,2015,Both Sexes,25-34,69,86.52
NHS Lothian,2015,Both Sexes,25-34,137,102.41
NHS Shetland,2015,Both Sexes,25-34,1,37.2
NHS Tayside,2015,Both Sexes,25-34,40,77.88
NHS Western Isles,2015,Both Sexes,25-34,1,38.71
Other,2015,Both Sexes,25-34,11,-
NHSScotland,2015,Both Sexes,25-34,645,91.98
NHS Ayrshire & Arran,2015,Both Sexes,35-44,61,138.88
NHS Borders,2015,Both Sexes,35-44,13,99.46
NHS Dumfries & Galloway,2015,Both Sexes,35-44,16,100.03
NHS Fife,2015,Both Sexes,35-44,42,92.45
NHS Forth Valley,2015,Both Sexes,35-44,33,83.08
NHS Grampian,2015,Both Sexes,35-44,40,52
