hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Ayrshire & Arran,2012,Both,00-14,168,280.35,S08000015
NHS Borders,2012,Both,00-14,53,294.84,S08000016
NHS Dumfries & Galloway,2012,Both,00-14,44,189.04,S08000017
NHS Fife,2012,Both,00-14,105,174.4,S08000029
NHS Forth Valley,2012,Both,00-14,83,165.83,S08000019
NHS Grampian,2012,Both,00-14,147,162.76,S08000020
NHS Greater Glasgow & Clyde,2012,Both,00-14,427,237.61,S08000021
NHS Highland,2012,Both,00-14,110,212.25,S08000022
NHS Lanarkshire,2012,Both,00-14,350,311.8,S08000023
NHS Lothian,2012,Both,00-14,323,242.38,S08000024
NHS Orkney Islands,2012,Both,00-14,2,60.17,S08000025
NHS Shetland Islands,2012,Both,00-14,4,95.83,S08000026
NHS Tayside,2012,Both,00-14,153,238.46,S08000030
NHS Western Isles,2012,Both,00-14,6,139.6,S08000028
Other,2012,Both,00-14,26,-,Other
NHS Scotland,2012,Both,00-14,2001,234.1,NHS Scotland
NHS Ayrshire & Arran,2012,Both,15-24,60,134.86,S08000015
NHS Borders,2012,Both,15-24,11,93.82,S08000016
NHS Dumfries & Galloway,2012,Both,15-24,13,78.96,S08000017
NHS Fife,2012,Both,15-24,31,66.63,S08000029
NHS Forth Valley,2012,Both,15-24,26,68.29,S08000019
NHS Grampian,2012,Both,15-24,60,78.31,S08000020
NHS Greater Glasgow & Clyde,2012,Both,15-24,158,97.32,S08000021
NHS Highland,2012,Both,15-24,35,100.23,S08000022
NHS Lanarkshire,2012,Both,15-24,56,70.69,S08000023
NHS Lothian,2012,Both,15-24,103,86.82,S08000024
NHS Orkney Islands,2012,Both,15-24,6,244.3,S08000025
NHS Shetland Islands,2012,Both,15-24,1,36.06,S08000026
NHS Tayside,2012,Both,15-24,48,86.72,S08000030
NHS Western Isles,2012,Both,15-24,6,213.45,S08000028
Other,2012,Both,15-24,3,-,Other
NHS Scotland,2012,Both,15-24,617,89.11,NHS Scotland
NHS Ayrshire & Arran,2012,Both,25-34,36,92.38,S08000015
NHS Borders,2012,Both,25-34,12,118.98,S08000016
NHS Dumfries & Galloway,2012,Both,25-34,14,99.05,S08000017
NHS Fife,2012,Both,25-34,34,81.78,S08000029
NHS Forth Valley,2012,Both,25-34,23,66.64,S08000019
NHS Grampian,2012,Both,25-34,74,96.32,S08000020
NHS Greater Glasgow & Clyde,2012,Both,25-34,169,106.15,S08000021
NHS Highland,2012,Both,25-34,26,76.97,S08000022
NHS Lanarkshire,2012,Both,25-34,83,104.17,S08000023
NHS Lothian,2012,Both,25-34,111,88.47,S08000024
NHS Orkney Islands,2012,Both,25-34,2,93.33,S08000025
NHS Tayside,2012,Both,25-34,57,117.63,S08000030
NHS Western Isles,2012,Both,25-34,1,38.3,S08000028
Other,2012,Both,25-34,5,-,Other
NHS Scotland,2012,Both,25-34,647,96.55,NHS Scotland
NHS Ayrshire & Arran,2012,Both,35-44,69,138.45,S08000015
NHS Borders,2012,Both,35-44,13,85.49,S08000016
NHS Dumfries & Galloway,2012,Both,35-44,20,107.69,S08000017
NHS Fife,2012,Both,35-44,51,101.61,S08000029
NHS Forth Valley,2012,Both,35-44,37,85.48,S08000019
NHS Grampian,2012,Both,35-44,49,61.66,S08000020
NHS Greater Glasgow & Clyde,2012,Both,35-44,162,104.09,S08000021
NHS Highland,2012,Both,35-44,35,84.28,S08000022
NHS Lanarkshire,2012,Both,35-44,104,109.73,S08000023
NHS Lothian,2012,Both,35-44,112,92.97,S08000024
NHS Tayside,2012,Both,35-44,30,58.61,S08000030
NHS Western Isles,2012,Both,35-44,1,27.22,S08000028
Other,2012,Both,35-44,9,-,Other
NHS Scotland,2012,Both,35-44,692,94.83,NHS Scotland
NHS Ayrshire & Arran,2012,Both,45-54,64,112.43,S08000015
NHS Borders,2012,Both,45-54,12,66.76,S08000016
NHS Dumfries & Galloway,2012,Both,45-54,17,73.27,S08000017
NHS Fife,2012,Both,45-54,34,62.74,S08000029
NHS Forth Valley,2012,Both,45-54,39,86.51,S08000019
NHS Grampian,2012,Both,45-54,57,68.66,S08000020
NHS Greater Glasgow & Clyde,2012,Both,45-54,219,129.61,S08000021
NHS Highland,2012,Both,45-54,44,88.7,S08000022
NHS Lanarkshire,2012,Both,45-54,76,76.06,S08000023
NHS Lothian,2012,Both,45-54,110,92.81,S08000024
NHS Orkney Islands,2012,Both,45-54,1,29.95,S08000025
NHS Tayside,2012,Both,45-54,45,75.34,S08000030
NHS Western Isles,2012,Both,45-54,5,121.24,S08000028
Other,2012,Both,45-54,3,-,Other
NHS Scotland,2012,Both,45-54,726,92.12,NHS Scotland
NHS Ayrshire & Arran,2012,Both,55-64,54,104.45,S08000015
NHS Borders,2012,Both,55-64,10,58.99,S08000016
NHS Dumfries & Galloway,2012,Both,55-64,15,66.79,S08000017
NHS Fife,2012,Both,55-64,36,74.98,S08000029
NHS Forth Valley,2012,Both,55-64,22,58.46,S08000019
NHS Grampian,2012,Both,55-64,46,63.38,S08000020
NHS Greater Glasgow & Clyde,2012,Both,55-64,178,136.05,S08000021
NHS Highland,2012,Both,55-64,37,78.57,S08000022
NHS Lanarkshire,2012,Both,55-64,64,78.27,S08000023
NHS Lothian,2012,Both,55-64,69,72.41,S08000024
NHS Shetland Islands,2012,Both,55-64,1,31.63,S08000026
NHS Tayside,2012,Both,55-64,20,37.29,S08000030
NHS Western Isles,2012,Both,55-64,7,168.63,S08000028
Other,2012,Both,55-64,3,-,Other
NHS Scotland,2012,Both,55-64,562,84.08,NHS Scotland
