hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Scotland,2012,Both Sexes,All ages,5937,112.02,NHS Scotland
NHS Scotland,2012,Female,All ages,3492,127.93,NHS Scotland
NHS Scotland,2012,Male,All ages,2445,95.13,NHS Scotland
NHS Scotland,2013,Both Sexes,All ages,6486,122.06,NHS Scotland
NHS Scotland,2013,Female,All ages,3973,145.2,NHS Scotland
NHS Scotland,2013,Male,All ages,2513,97.51,NHS Scotland
NHS Scotland,2014,Both Sexes,All ages,5908,110.89,NHS Scotland
NHS Scotland,2014,Female,All ages,3660,133.53,NHS Scotland
NHS Scotland,2014,Male,All ages,2248,86.91,NHS Scotland
NHS Scotland,2015,Both Sexes,All ages,6318,118.15,NHS Scotland
NHS Scotland,2015,Female,All ages,3710,134.86,NHS Scotland
NHS Scotland,2015,Male,All ages,2607,100.4,NHS Scotland
NHS Scotland,2016,Both Sexes,All ages,6450,120.04,NHS Scotland
NHS Scotland,2016,Female,All ages,3922,141.97,NHS Scotland
NHS Scotland,2016,Male,All ages,2528,96.84,NHS Scotland
NHS Scotland,2017,Both Sexes,All ages,6559,121.36,NHS Scotland
NHS Scotland,2017,Female,All ages,4068,146.48,NHS Scotland
NHS Scotland,2017,Male,All ages,2491,94.8,NHS Scotland
NHS Scotland,2018,Both Sexes,All ages,6536,120.48,NHS Scotland
NHS Scotland,2018,Female,All ages,4246,152.49,NHS Scotland
NHS Scotland,2018,Male,All ages,2289,86.69,NHS Scotland
NHS Scotland,2019,Both Sexes,All ages,6461,118.81,NHS Scotland
NHS Scotland,2019,Female,All ages,4157,149.03,NHS Scotland
NHS Scotland,2019,Male,All ages,2304,86.98,NHS Scotland
