FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,SIMD quintiles,Urban Rural Classification
S92000003,2015-2017,95% Lower Confidence Limit,Years,48.54,Male,1-4 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,44.8,Male,5-9 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,23.04,Male,30-34 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,0.41,Male,85-89 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,49.25,Male,0 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,40.17,Male,10-14 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,35.63,Male,15-19 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,31.23,Male,20-24 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,27.01,Male,25-29 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,19.37,Male,35-39 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,10.4,Male,50-54 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,16.06,Male,40-44 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,51.1,Female,0 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,4.32,Male,65-69 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,13.09,Male,45-49 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,0.83,Male,80-84 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,50.34,Female,1-4 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,1.67,Male,75-79 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,0.08,Male,90 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,46.58,Female,5-9 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,4.48,Male,65-69 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,3.14,Male,70-74 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,1.26,Male,80-84 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,0.45,Male,90 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,0.74,Male,85-89 years,1 - most deprived,All
S92000003,2016-2018,95% Upper Confidence Limit,Years,50.79,Male,0 years,1 - most deprived,All
S92000003,2016-2018,95% Upper Confidence Limit,Years,46.37,Male,5-9 years,1 - most deprived,All
S92000003,2016-2018,95% Upper Confidence Limit,Years,37.11,Male,15-19 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,2.03,Male,75-79 years,1 - most deprived,All
S92000003,2016-2018,95% Upper Confidence Limit,Years,50.11,Male,1-4 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,6.1,Male,60-64 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,16.26,Male,40-44 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,8.14,Male,55-59 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,13.26,Male,45-49 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,10.57,Male,50-54 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,19.62,Male,35-39 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,23.37,Male,30-34 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,27.41,Male,25-29 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,31.68,Male,20-24 years,1 - most deprived,All
S92000003,2015-2017,95% Upper Confidence Limit,Years,3.32,Male,75-79 years,1 - most deprived,All
S92000003,2015-2017,95% Upper Confidence Limit,Years,1.76,Male,85-89 years,1 - most deprived,All
S92000003,2015-2017,95% Upper Confidence Limit,Years,2.48,Male,80-84 years,1 - most deprived,All
S92000003,2015-2017,95% Upper Confidence Limit,Years,4.39,Male,70-74 years,1 - most deprived,All
S92000003,2015-2017,95% Upper Confidence Limit,Years,5.78,Male,65-69 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,4.17,Female,75-79 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,3.09,Female,80-84 years,1 - most deprived,All
S92000003,2015-2017,95% Lower Confidence Limit,Years,1.13,Female,90 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,5.58,Female,70-74 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,7.31,Female,65-69 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,2.28,Female,85-89 years,1 - most deprived,All
S92000003,2016-2018,Count,Years,1.75,Female,90 years,1 - most deprived,All
