Generated by http://statistics.gov.scot,2021-01-22T17:07:22+00:00
http://statistics.gov.scot/data/scottish-welfare-fund-expenditure,Scottish Welfare Fund Expenditure
measure type,Count
Scottish Welfare Fund Application Type,Crisis Grant
Measure (cell values): ,Count(Pounds (GBP))

,,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019,http://reference.data.gov.uk/id/government-year/2019-2020
http://purl.org/linked-data/sdmx/2009/dimension#ref
Area,Reference Area,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,5823356,7427038,7894421,9244197,9126727,10435262,12898066
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,252103,290160,316100,388684,347596,393727,532185
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,109254,133641,126463,292473,229439,271161,356553
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,119600,124086,115336,118242,113444,227636,209567
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,90361,90390,83368,78318,69282,67807,72210
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,281205,497696,604156,661165,675121,578108,812753
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,37671,44499,29969,60477,113668,170864,264204
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,122610,145728,166013,214655,232840,366762,374366
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,270786,391661,374611,376032,285477,287718,361051
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,228875,238708,231961,217008,210516,205376,181771
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,43063,84823,62843,106935,124846,119027,142779
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,99530,88202,117144,159933,144946,180641,194573
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,12390,22740,25062,32684,30135,34609,33193
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,154711,250509,207707,196205,220671,237316,238394
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,250949,492137,553764,741964,898052,1482431,2084556
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,862114,987890,1310316,1822684,1764017,1866247,2709940
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,148484,220553,216409,256771,228355,178624,175739
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,109618,149281,191573,190357,261143,256054,240851
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,104163,115710,129238,127087,174630,207482,265347
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,103950,97104,111693,138905,117775,107367,142920
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,5527,11308,11493,10204,11363,11561,16045
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,186095,301534,286092,292809,282765,335146,270081
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,527598,912543,913228,912296,809766,769803,881620
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,2798,7404,7548,5764,6611,7481,6866
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,119571,161467,145758,166405,160591,175295,262605
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,354042,449000,456480,455185,450070,546327,553465
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,101481,64928,69884,55532,41639,51809,87605
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,5485,7364,9296,9715,14249,7892,9960
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,136786,148492,108511,154688,139464,214993,237741
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,424297,318075,309024,295316,248658,274855,290204
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,99273,169583,171556,197767,185333,188597,222031
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,251620,236849,228354,262774,280466,265932,293763
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,207346,172975,203470,245162,253797,346617,373129
