date_code,swemwbs_score,type_of_tenure,household_type,age,gender,limiting_condition
2014,23.74,All,All,16-64 years,All,All
2017,24.12,All,All,16-34 years,All,All
2016,23.2,All,All,16-34 years,All,All
2014,23.76,All,All,16-64 years,All,All
2016,23.87,All,All,35-64 years,All,All
2017,24.33,All,All,35-64 years,All,All
2015,23.81,All,All,35-64 years,All,All
2017,24.14,All,All,65 years and over,All,All
2014,24.28,All,All,16-64 years,All,All
2015,23.07,All,All,16-34 years,All,All
2017,24.37,All,All,16-64 years,All,All
2014,23.43,All,All,16-64 years,All,All
2016,23.22,All,All,35-64 years,All,All
2016,23.84,All,All,16-34 years,All,All
2016,22.4,All,All,16-34 years,All,All
2016,23.53,All,All,16-34 years,All,All
2016,23.69,All,All,35-64 years,All,All
2016,23.23,All,All,16-34 years,All,All
2016,23.39,All,All,16-34 years,All,All
2016,24.11,All,All,35-64 years,All,All
2016,22.92,All,All,35-64 years,All,All
2015,23.5,All,All,16-34 years,All,All
2016,24.16,All,All,16-64 years,All,All
2016,24.5,All,All,16-64 years,All,All
2016,23.89,All,All,16-64 years,All,All
2015,24.4,All,All,35-64 years,All,All
2015,24.37,All,All,16-34 years,All,All
2016,24.16,All,All,16-64 years,All,All
2015,24.28,All,All,16-34 years,All,All
2016,23.49,All,All,16-64 years,All,All
2016,24.04,All,All,16-64 years,All,All
2016,24.26,All,All,16-64 years,All,All
2016,23.71,All,All,16-64 years,All,All
2014,24,All,All,16-64 years,All,All
2014,24.47,All,All,16-64 years,All,All
2016,22.87,All,All,16-64 years,All,All
2016,24.39,All,All,16-64 years,All,All
2016,24.57,All,All,16-64 years,All,All
2016,23.61,All,All,16-64 years,All,All
2015,24.38,All,All,35-64 years,All,All
2014,24.42,All,All,16-64 years,All,All
2016,23.67,All,All,35-64 years,All,All
2016,23.11,All,All,16-34 years,All,All
2016,23.39,All,All,35-64 years,All,All
2016,24.07,All,All,35-64 years,All,All
2016,24.27,All,All,35-64 years,All,All
2016,23.65,All,All,16-34 years,All,All
2016,24.52,All,All,16-34 years,All,All
2016,23.22,All,All,16-34 years,All,All
2017,24.94,All,All,16-64 years,All,All
2016,23.91,All,All,35-64 years,All,All
2016,23.38,All,All,16-34 years,All,All
2016,22.79,All,All,35-64 years,All,All
2016,22.94,All,All,16-34 years,All,All
2016,23.77,All,All,35-64 years,All,All
2016,24.54,All,All,16-34 years,All,All
2016,22.18,All,All,16-34 years,All,All
2016,23.44,All,All,35-64 years,All,All
2016,22.05,All,All,16-34 years,All,All
2016,23.03,All,All,16-34 years,All,All
2016,23.36,All,All,35-64 years,All,All
2016,23.27,All,All,35-64 years,All,All
2016,23.51,All,All,16-34 years,All,All
2016,22.51,All,All,16-34 years,All,All
2016,23.89,All,All,16-34 years,All,All
2016,23.53,All,All,35-64 years,All,All
2016,23.39,All,All,16-34 years,All,All
2016,23.75,All,All,35-64 years,All,All
2016,24.44,All,All,35-64 years,All,All
2016,23.68,All,All,35-64 years,All,All
2016,23.76,All,All,35-64 years,All,All
2016,22.63,All,All,16-34 years,All,All
2015,24.5,All,All,16-64 years,All,All
2016,24.05,All,All,65 years and over,All,All
2015,23.86,All,All,65 years and over,All,All
2015,23.27,All,All,16-64 years,All,All
2015,24.07,All,All,16-64 years,All,All
2015,23.87,All,All,16-64 years,All,All
2014,24.57,All,All,16-64 years,All,All
2015,24.22,All,All,16-64 years,All,All
2014,24.86,All,All,16-64 years,All,All
2014,23.56,All,All,16-64 years,All,All
2014,24.18,All,All,16-34 years,All,All
2015,23.71,All,All,16-34 years,All,All
2015,24.22,All,All,35-64 years,All,All
2015,23.95,All,All,35-64 years,All,All
2015,23.54,All,All,35-64 years,All,All
2015,24.08,All,All,16-34 years,All,All
2015,24.13,All,All,35-64 years,All,All
2015,23.31,All,All,16-34 years,All,All
2016,23.6,All,All,35-64 years,All,All
2015,24.52,All,All,35-64 years,All,All
2015,24.09,All,All,35-64 years,All,All
2015,24.34,All,All,16-64 years,All,All
2014,23.81,All,All,65 years and over,All,All
2015,24.04,All,All,16-34 years,All,All
2015,23.43,All,All,16-34 years,All,All
2015,23.43,All,All,16-34 years,All,All
2014,23.93,All,All,35-64 years,All,All
2015,23.71,All,All,35-64 years,All,All
2015,23.73,All,All,16-34 years,All,All
2014,23.94,All,All,16-34 years,All,All
2015,24.64,All,All,35-64 years,All,All
2016,23.73,All,All,16-64 years,All,All
2016,23.57,All,All,16-64 years,All,All
2015,24.72,All,All,16-64 years,All,All
2016,23.7,All,All,16-64 years,All,All
2015,23.96,All,All,35-64 years,All,All
2016,23.65,All,All,16-64 years,All,All
2016,24.19,All,All,16-64 years,All,All
2016,24.03,All,All,16-64 years,All,All
2016,24.17,All,All,16-64 years,All,All
2016,23.23,All,All,16-64 years,All,All
2016,23.4,All,All,16-64 years,All,All
2016,23.11,All,All,16-64 years,All,All
2016,23.22,All,All,16-64 years,All,All
2016,23.5,All,All,16-64 years,All,All
2016,23.62,All,All,16-64 years,All,All
2015,24.97,All,All,35-64 years,All,All
2016,24.1,All,All,16-64 years,All,All
2016,24.03,All,All,16-64 years,All,All
2016,23.51,All,All,16-64 years,All,All
2015,23.52,All,All,16-34 years,All,All
2015,24.43,All,All,35-64 years,All,All
2016,24.53,All,All,16-64 years,All,All
2016,23.56,All,All,16-64 years,All,All
2016,23.76,All,All,16-64 years,All,All
2016,24.02,All,All,16-64 years,All,All
2016,24.24,All,All,16-34 years,All,All
2016,22.84,All,All,16-34 years,All,All
2016,23.93,All,All,35-64 years,All,All
2016,24.18,All,All,16-34 years,All,All
2016,24.63,All,All,35-64 years,All,All
2016,24.06,All,All,35-64 years,All,All
2016,22.49,All,All,35-64 years,All,All
2015,23.7,All,All,16-64 years,All,All
2016,23.92,All,All,35-64 years,All,All
2016,23.31,All,All,35-64 years,All,All
2016,24.17,All,All,35-64 years,All,All
2016,23.59,All,All,16-34 years,All,All
2016,23.73,All,All,16-34 years,All,All
2015,24.27,All,All,16-64 years,All,All
2016,23.36,All,All,35-64 years,All,All
2015,23.83,All,All,16-64 years,All,All
2016,23.89,All,All,35-64 years,All,All
2016,23.73,All,All,35-64 years,All,All
2016,23.66,All,All,16-34 years,All,All
2016,23.67,All,All,35-64 years,All,All
2016,24.1,All,All,35-64 years,All,All
2016,23.87,All,All,16-34 years,All,All
2016,24.33,All,All,16-34 years,All,All
2016,23.47,All,All,16-34 years,All,All
2016,25.38,All,All,16-34 years,All,All
2016,23.92,All,All,16-34 years,All,All
2017,24.09,All,All,16-34 years,All,All
2017,23.97,All,All,35-64 years,All,All
2015,23.84,All,All,35-64 years,All,All
2016,25.46,All,All,16-34 years,All,All
2016,25.04,All,All,16-34 years,All,All
2017,24.86,All,All,16-64 years,All,All
2017,24.71,All,All,16-64 years,All,All
2015,24.57,All,All,16-34 years,All,All
2014,24.53,All,All,35-64 years,All,All
2017,24.65,All,All,65 years and over,All,All
2014,24.9,All,All,16-34 years,All,All
2017,24.68,All,All,16-64 years,All,All
2015,25.38,All,All,16-64 years,All,All
2017,23.95,All,All,16-64 years,All,All
2017,25.13,All,All,16-64 years,All,All
2017,24.31,All,All,16-64 years,All,All
2016,24.83,All,All,16-64 years,All,All
2017,25.08,All,All,16-64 years,All,All
2015,26.03,All,All,16-34 years,All,All
2015,25.49,All,All,65 years and over,All,All
2017,25.12,All,All,16-64 years,All,All
2016,24.24,All,All,65 years and over,All,All
2017,24.4,All,All,16-64 years,All,All
2014,24.79,All,All,16-34 years,All,All
2017,24.93,All,All,16-64 years,All,All
2017,26.32,All,All,16-64 years,All,All
2015,25.32,All,All,35-64 years,All,All
2016,23.62,All,All,35-64 years,All,All
2014,24.31,All,All,65 years and over,All,All
2016,24.62,All,All,16-64 years,All,All
2017,24.77,All,All,16-64 years,All,All
2016,24.56,All,All,35-64 years,All,All
2015,24.38,All,All,65 years and over,All,All
2016,24.68,All,All,35-64 years,All,All
2016,23.7,All,All,65 years and over,All,All
2017,23.72,All,All,16-64 years,All,All
2015,24.16,All,All,65 years and over,All,All
2014,25.01,All,All,35-64 years,All,All
2016,24.62,All,All,16-34 years,All,All
2014,24.7,All,All,65 years and over,All,All
2017,25.21,All,All,16-34 years,All,All
2014,24.59,All,All,35-64 years,All,All
2014,25.91,All,All,16-34 years,All,All
2016,23.94,All,All,16-64 years,All,All
2017,24.16,All,All,16-64 years,All,All
2015,24.06,All,All,35-64 years,All,All
2015,24.68,All,All,16-64 years,All,All
2017,25.28,All,All,16-34 years,All,All
2017,24.66,All,All,16-64 years,All,All
2017,24.13,All,All,16-64 years,All,All
2017,25.03,All,All,35-64 years,All,All
2015,25.06,All,All,16-34 years,All,All
2017,25.09,All,All,65 years and over,All,All
2014,24.36,All,All,65 years and over,All,All
2017,25.02,All,All,16-64 years,All,All
2014,24.44,All,All,35-64 years,All,All
2016,24.06,All,All,35-64 years,All,All
2016,24.22,All,All,16-64 years,All,All
2017,23.83,All,All,35-64 years,All,All
2015,24.45,All,All,16-34 years,All,All
2014,24.95,All,All,16-64 years,All,All
2017,25.2,All,All,16-64 years,All,All
2017,25.2,All,All,16-64 years,All,All
2017,24.98,All,All,16-64 years,All,All
2017,24.66,All,All,16-64 years,All,All
2017,24.12,All,All,16-34 years,All,All
2017,25.21,All,All,35-64 years,All,All
2017,25.27,All,All,16-64 years,All,All
2017,24.46,All,All,65 years and over,All,All
2017,24.38,All,All,16-64 years,All,All
2014,24.52,All,All,16-64 years,All,All
2017,24.46,All,All,16-64 years,All,All
2017,23.86,All,All,16-64 years,All,All
2017,23.86,All,All,16-64 years,All,All
2014,26.04,All,All,16-34 years,All,All
2015,24.15,All,All,16-64 years,All,All
2017,24.96,All,All,16-64 years,All,All
2017,25.39,All,All,65 years and over,All,All
2015,24.65,All,All,35-64 years,All,All
2017,24.45,All,All,16-64 years,All,All
2017,23.88,All,All,16-64 years,All,All
2015,23.8,All,All,16-34 years,All,All
2014,24.34,All,All,16-34 years,All,All
