Generated by http://statistics.gov.scot,2021-01-24T17:08:46+00:00
http://statistics.gov.scot/data/p1-BMI-clinical,Primary 1 Children Body Mass Index - Clinical
measure type,Ratio
Gender,All
Weight Category,Clinical - Overweight
Measure (cell values): ,Ratio(Percent Of P1 Children)

,,http://reference.data.gov.uk/id/government-year/2001-2002,http://reference.data.gov.uk/id/government-year/2002-2003,http://reference.data.gov.uk/id/government-year/2003-2004,http://reference.data.gov.uk/id/government-year/2004-2005,http://reference.data.gov.uk/id/government-year/2005-2006,http://reference.data.gov.uk/id/government-year/2006-2007,http://reference.data.gov.uk/id/government-year/2007-2008,http://reference.data.gov.uk/id/government-year/2008-2009,http://reference.data.gov.uk/id/government-year/2009-2010,http://reference.data.gov.uk/id/government-year/2010-2011,http://reference.data.gov.uk/id/government-year/2011-2012,http://reference.data.gov.uk/id/government-year/2012-2013,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,9.24,8.99,9.49,9.53,9.83,9.06,8.74,8.59,8.84,8.77,8.84,8.84,9.22,8.74,8.61,9.26,9.04,9.03
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,"","","","","","",8.56,6.81,9.58,10.88,11.01,9.63,12.14,9.61,9.83,10.28,8.65,9.49
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,10.25,"",10.3,10.41,9.55,10.24,8.78,8.65,8.76,7.71,7.69,8.27,9.39,8.81,8.1,10.28,9.86,8.51
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,"","","",9.7,9.63,8.57,10.87,8.77,10.56,9.25,8.57,9.52,9.69,10.48,11.7,12.84,10.52,10.51
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,8.93,9.08,10.44,10.35,11.05,9.68,9.7,9.39,9.66,9.69,8.68,8.9,9.79,9.69,8.73,9.42,9.42,7.69
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,"","","","",9.59,8.83,7.68,7.98,9.15,8.41,8.33,8.79,9.59,7.91,8.92,9.22,9.3,9.64
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,"","","","","","","","",7.89,7.78,8.46,9,9.89,8.76,8.9,9.04,9.69,8.63
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,"","","","","",7.73,6.91,7.37,8.14,6.65,8.88,8.53,8.29,8.12,7.73,8.13,8.39,8.62
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,"","","","","","","",10.47,10.72,9.92,9.96,9.14,9.58,10.1,9.08,10.07,9.92,11.08
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,9.04,8.43,8.84,9.01,8.9,7.96,8.28,7.1,7.32,7.22,7.76,8.33,8.1,7.64,8.14,8.57,9.02,9.2
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,10.03,10.68,9.16,9.9,9.75,10.17,9.63,9.52,9.28,8.36,8.58,9,8.85,8.45,8.34,9.4,8.24,8.83
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,"","","","","","","","","",13.13,14.59,7.14,11.57,10.8,8.93,10.42,10.93,15.5
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,"","","","","","","",8.51,10.55,8.75,11.44,7.33,8.46,10.1,10.62,9.88,10.99,5.29
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,"",9.05,9.53,8.63,10.37,9.33,8.13,9.7,9.11,10.43,9.23,9.03,9.56,10.03,9.38,10.16,9.83,8.8
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,"","",11.73,13.64,16.8,6.83,10.17,8.26,9.33,13.65,10,11.51,9.29,9.91,2.29,9.24,10.85,12.62
