Generated by http://statistics.gov.scot,2021-01-24T17:08:26+00:00
http://statistics.gov.scot/data/p1-BMI-clinical,Primary 1 Children Body Mass Index - Clinical
measure type,Ratio
Gender,All
Weight Category,Clinical - Healthy Weight
Measure (cell values): ,Ratio(Percent Of P1 Children)

,,http://reference.data.gov.uk/id/government-year/2001-2002,http://reference.data.gov.uk/id/government-year/2002-2003,http://reference.data.gov.uk/id/government-year/2003-2004,http://reference.data.gov.uk/id/government-year/2004-2005,http://reference.data.gov.uk/id/government-year/2005-2006,http://reference.data.gov.uk/id/government-year/2006-2007,http://reference.data.gov.uk/id/government-year/2007-2008,http://reference.data.gov.uk/id/government-year/2008-2009,http://reference.data.gov.uk/id/government-year/2009-2010,http://reference.data.gov.uk/id/government-year/2010-2011,http://reference.data.gov.uk/id/government-year/2011-2012,http://reference.data.gov.uk/id/government-year/2012-2013,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,84.03,84.13,83.48,83.6,83.19,84.27,84.87,85.15,84.66,84.64,84.59,85.04,84.01,84.69,84.65,83.77,84.27,84.15
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,"","","","","","",83.83,87.15,83.37,81.19,82.21,82.82,79.22,83.04,82.69,82.08,84.69,84.04
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,84.8,"",84.79,82.45,84.02,84.24,86.37,86.08,85.11,86.62,86.13,86.51,84.91,85.56,85.73,84.04,84.54,86.31
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,"","","",83.25,84.18,84.43,83.58,84.35,82.18,84.91,83.54,84.32,83.22,82.35,81.08,79.03,83.37,81.98
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,84.25,83.39,83.1,82.95,80.08,82.37,83.72,84.86,83.51,83.52,84.97,85.52,83.07,83.28,84.69,83.15,83.84,85.56
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,"","","","",83.46,85.54,86.51,85.9,84.71,85.79,85.38,86.01,84.07,86.43,85.09,85.29,84.44,83.97
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,"","","","","","","","",85.62,86.17,84.92,85.14,83.09,84.48,83.64,84.33,84.27,85.86
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,"","","","","",85.29,87.94,88.15,85.52,87.62,84.53,85.41,85.43,85.86,85.5,84.76,85.11,84.14
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,"","","","","","","",82.08,82.57,82.81,83.76,84.15,82.86,83.12,83.97,82.89,83.23,81.04
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,84.39,85.08,83.27,83.66,84.32,85.55,85.04,86.54,86.77,86.45,85.18,85.19,85.22,85.73,85.03,84.61,84.35,82.83
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,82.19,81.23,84.53,83.38,83.64,83.01,83.33,84.1,84.18,84.53,85.31,85.38,84.93,84.81,85.43,83.66,84.58,84.83
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,"","","","","","","","","",80.3,78.54,81.43,76.39,84.98,82.14,84.38,83.61,78
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,"","","","","","","",86.38,80.59,86.67,82.66,84.91,88.08,81.18,84.62,82.61,82.78,85.9
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,"",84.51,83.42,85.01,82.92,84.19,86.52,83.8,84.44,83.26,84.2,84.67,83.65,83.18,84.22,82.38,82.43,84.49
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,"","",82.12,68.18,80,85.97,80.51,83.88,80.83,77.91,82.86,80.95,81.78,81.6,89.69,84.03,80.23,82.04
