Generated by http://statistics.gov.scot,2021-01-24T17:10:03+00:00
http://statistics.gov.scot/data/p1-BMI-clinical,Primary 1 Children Body Mass Index - Clinical
measure type,Ratio
Gender,All
Weight Category,Clinical - Underweight
Measure (cell values): ,Ratio(Percent Of P1 Children)

,,http://reference.data.gov.uk/id/government-year/2001-2002,http://reference.data.gov.uk/id/government-year/2002-2003,http://reference.data.gov.uk/id/government-year/2003-2004,http://reference.data.gov.uk/id/government-year/2004-2005,http://reference.data.gov.uk/id/government-year/2005-2006,http://reference.data.gov.uk/id/government-year/2006-2007,http://reference.data.gov.uk/id/government-year/2007-2008,http://reference.data.gov.uk/id/government-year/2008-2009,http://reference.data.gov.uk/id/government-year/2009-2010,http://reference.data.gov.uk/id/government-year/2010-2011,http://reference.data.gov.uk/id/government-year/2011-2012,http://reference.data.gov.uk/id/government-year/2012-2013,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,0.52,0.59,0.57,0.52,0.51,0.48,0.61,0.6,0.54,0.59,0.43,0.34,0.36,0.35,0.36,0.31,0.26,0.27
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,"","","","","","",0.98,0.83,0.71,0.28,0.43,0.32,0.61,0.45,0.37,0.36,0.34,0.35
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,0.48,"",0.2,0.18,0.45,0.18,0.19,0.38,0.26,0.46,0.18,0.09,0.09,0.09,0.55,0.09,0.27,0.00
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,"","","",0.69,0.31,0.16,0.07,0.51,0.00,0.00,0.34,0.28,0.16,0.00,0.07,0.3,0.15,0.00
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,0.39,0.27,0.35,0.23,0.17,0.15,0.11,0.16,0.35,0.38,0.28,0.13,0.52,0.3,0.17,0.37,0.25,0.22
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,"","","","",0.54,0.28,0.57,0.46,0.39,0.16,0.29,0.15,0.21,0.24,0.28,0.22,0.24,0.14
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,"","","","","","","","",0.45,0.54,0.5,0.27,0.31,0.29,0.52,0.16,0.2,0.19
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,"","","","","",1.16,1.13,0.8,0.55,0.87,0.27,0.28,0.33,0.46,0.33,0.33,0.18,0.15
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,"","","","","","","",0.35,0.13,0.24,0.33,0.32,0.32,0.36,0.35,0.28,0.26,0.12
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,0.68,0.87,0.61,1.03,0.77,0.77,1.15,1.17,0.85,1.15,1.29,1.06,0.79,0.62,0.59,0.44,0.46,0.57
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,0.31,0.69,0.91,0.36,0.55,0.41,0.42,0.47,0.8,0.78,0.21,0.23,0.14,0.31,0.34,0.38,0.31,0.37
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,"","","","","","","","","",0.00,0.00,0.48,0.46,0.00,0.00,0.52,0.00,0.00
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,"","","","","","","",0.00,0.84,0.42,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,"",0.39,0.65,0.34,0.45,0.48,0.3,0.43,0.36,0.7,0.18,0.12,0.14,0.12,0.22,0.14,0.12,0.18
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,"","",0.56,0.00,0.00,0.36,1.27,0.83,1.55,0.8,0.00,1.19,0.37,0.00,0.00,0.42,0.00,0.49
