reference_area,category,year,ratio
Scotland,healthy_weight,2008,84.87
Scotland,healthy_weight,2009,85.15
Scotland,healthy_weight,2010,84.66
Scotland,healthy_weight,2011,84.64
Scotland,healthy_weight,2012,84.59
Scotland,healthy_weight,2013,85.04
Scotland,healthy_weight,2014,84.01
Scotland,healthy_weight,2015,84.69
Scotland,healthy_weight,2016,84.65
Scotland,healthy_weight,2017,83.77
Scotland,healthy_weight,2018,84.27
Scotland,healthy_weight,2019,84.15
Ayrshire and Arran,healthy_weight,2008,83.83
Ayrshire and Arran,healthy_weight,2009,87.15
Ayrshire and Arran,healthy_weight,2010,83.37
Ayrshire and Arran,healthy_weight,2011,81.19
Ayrshire and Arran,healthy_weight,2012,82.21
Ayrshire and Arran,healthy_weight,2013,82.82
Ayrshire and Arran,healthy_weight,2014,79.22
Ayrshire and Arran,healthy_weight,2015,83.04
Ayrshire and Arran,healthy_weight,2016,82.69
Ayrshire and Arran,healthy_weight,2017,82.08
Ayrshire and Arran,healthy_weight,2018,84.69
Ayrshire and Arran,healthy_weight,2019,84.04
Borders,healthy_weight,2008,86.37
Borders,healthy_weight,2009,86.08
Borders,healthy_weight,2010,85.11
Borders,healthy_weight,2011,86.62
Borders,healthy_weight,2012,86.13
Borders,healthy_weight,2013,86.51
Borders,healthy_weight,2014,84.91
Borders,healthy_weight,2015,85.56
Borders,healthy_weight,2016,85.73
Borders,healthy_weight,2017,84.04
Borders,healthy_weight,2018,84.54
Borders,healthy_weight,2019,86.31
Dumfries and Galloway,healthy_weight,2008,83.58
Dumfries and Galloway,healthy_weight,2009,84.35
Dumfries and Galloway,healthy_weight,2010,82.18
Dumfries and Galloway,healthy_weight,2011,84.91
Dumfries and Galloway,healthy_weight,2012,83.54
Dumfries and Galloway,healthy_weight,2013,84.32
Dumfries and Galloway,healthy_weight,2014,83.22
Dumfries and Galloway,healthy_weight,2015,82.35
Dumfries and Galloway,healthy_weight,2016,81.08
Dumfries and Galloway,healthy_weight,2017,79.03
Dumfries and Galloway,healthy_weight,2018,83.37
Dumfries and Galloway,healthy_weight,2019,81.98
Fife,healthy_weight,2008,83.72
Fife,healthy_weight,2009,84.86
Fife,healthy_weight,2010,83.51
Fife,healthy_weight,2011,83.52
Fife,healthy_weight,2012,84.97
Fife,healthy_weight,2013,85.52
Fife,healthy_weight,2014,83.07
Fife,healthy_weight,2015,83.28
Fife,healthy_weight,2016,84.69
Fife,healthy_weight,2017,83.15
Fife,healthy_weight,2018,83.84
Fife,healthy_weight,2019,85.56
Forth Valley,healthy_weight,2008,86.51
Forth Valley,healthy_weight,2009,85.9
Forth Valley,healthy_weight,2010,84.71
Forth Valley,healthy_weight,2011,85.79
Forth Valley,healthy_weight,2012,85.38
Forth Valley,healthy_weight,2013,86.01
Forth Valley,healthy_weight,2014,84.07
Forth Valley,healthy_weight,2015,86.43
Forth Valley,healthy_weight,2016,85.09
Forth Valley,healthy_weight,2017,85.29
Forth Valley,healthy_weight,2018,84.44
Forth Valley,healthy_weight,2019,83.97
Grampian,healthy_weight,2008,NA
Grampian,healthy_weight,2009,NA
Grampian,healthy_weight,2010,85.62
Grampian,healthy_weight,2011,86.17
Grampian,healthy_weight,2012,84.92
Grampian,healthy_weight,2013,85.14
