FeatureCode,DateCode,Measurement,Units,Value
S12000034,2014/2015,Count,Hospital Discharges,117
S12000034,2013/2014,Count,Hospital Discharges,120
S12000034,2015/2016,Count,Hospital Discharges,120
S12000034,2011/2012,Count,Hospital Discharges,144
S12000034,2010/2011,Count,Hospital Discharges,165
S12000034,2012/2013,Count,Hospital Discharges,120
S12000035,2000/2001,Count,Hospital Discharges,39
S12000035,1999/2000,Count,Hospital Discharges,45
S12000035,2001/2002,Count,Hospital Discharges,36
S12000035,1997/1998,Count,Hospital Discharges,21
S12000035,1998/1999,Count,Hospital Discharges,36
S12000034,2003/2004,Count,Hospital Discharges,84
S12000034,2002/2003,Count,Hospital Discharges,90
S12000034,2004/2005,Count,Hospital Discharges,117
S12000034,2000/2001,Count,Hospital Discharges,78
S12000034,1999/2000,Count,Hospital Discharges,81
S12000034,2001/2002,Count,Hospital Discharges,102
S12000034,2008/2009,Count,Hospital Discharges,159
S12000034,2007/2008,Count,Hospital Discharges,144
S12000034,2009/2010,Count,Hospital Discharges,141
S12000034,2005/2006,Count,Hospital Discharges,99
S12000034,2006/2007,Count,Hospital Discharges,108
S12000036,1998/1999,Count,Hospital Discharges,456
S12000036,1997/1998,Count,Hospital Discharges,507
S12000036,1999/2000,Count,Hospital Discharges,462
S12000035,2014/2015,Count,Hospital Discharges,33
S12000035,2013/2014,Count,Hospital Discharges,42
S12000035,2015/2016,Count,Hospital Discharges,54
S12000036,2003/2004,Count,Hospital Discharges,567
S12000036,2002/2003,Count,Hospital Discharges,483
S12000036,2004/2005,Count,Hospital Discharges,543
S12000036,2000/2001,Count,Hospital Discharges,417
S12000036,2001/2002,Count,Hospital Discharges,513
S12000035,2006/2007,Count,Hospital Discharges,42
S12000035,2005/2006,Count,Hospital Discharges,39
S12000035,2007/2008,Count,Hospital Discharges,54
S12000035,2003/2004,Count,Hospital Discharges,57
S12000035,2002/2003,Count,Hospital Discharges,48
S12000035,2004/2005,Count,Hospital Discharges,42
S12000035,2011/2012,Count,Hospital Discharges,54
S12000035,2010/2011,Count,Hospital Discharges,54
S12000035,2012/2013,Count,Hospital Discharges,42
S12000035,2008/2009,Count,Hospital Discharges,45
S12000035,2009/2010,Count,Hospital Discharges,51
S12000030,2009/2010,Count,Hospital Discharges,93
S12000030,2008/2009,Count,Hospital Discharges,78
S12000030,2010/2011,Count,Hospital Discharges,114
S12000030,2006/2007,Count,Hospital Discharges,45
S12000030,2005/2006,Count,Hospital Discharges,45
S12000030,2007/2008,Count,Hospital Discharges,69
S12000030,2014/2015,Count,Hospital Discharges,96
S12000030,2013/2014,Count,Hospital Discharges,81
S12000030,2015/2016,Count,Hospital Discharges,117
S12000030,2011/2012,Count,Hospital Discharges,75
S12000030,2012/2013,Count,Hospital Discharges,93
S12000030,1998/1999,Count,Hospital Discharges,51
S12000030,1997/1998,Count,Hospital Discharges,33
S12000030,1999/2000,Count,Hospital Discharges,63
S12000029,2014/2015,Count,Hospital Discharges,312
S12000029,2013/2014,Count,Hospital Discharges,264
S12000029,2015/2016,Count,Hospital Discharges,444
S12000030,2003/2004,Count,Hospital Discharges,63
S12000030,2002/2003,Count,Hospital Discharges,75
S12000030,2004/2005,Count,Hospital Discharges,60
S12000030,2000/2001,Count,Hospital Discharges,45
S12000030,2001/2002,Count,Hospital Discharges,51
S12000033,2011/2012,Count,Hospital Discharges,471
S12000033,2010/2011,Count,Hospital Discharges,537
S12000033,2012/2013,Count,Hospital Discharges,402
S12000033,2008/2009,Count,Hospital Discharges,573
S12000033,2007/2008,Count,Hospital Discharges,519
S12000033,2009/2010,Count,Hospital Discharges,627
S12000034,1997/1998,Count,Hospital Discharges,57
S12000033,2015/2016,Count,Hospital Discharges,396
S12000034,1998/1999,Count,Hospital Discharges,78
S12000033,2013/2014,Count,Hospital Discharges,429
S12000033,2014/2015,Count,Hospital Discharges,387
S12000033,2000/2001,Count,Hospital Discharges,399
S12000033,1999/2000,Count,Hospital Discharges,411
S12000033,2001/2002,Count,Hospital Discharges,381
S12000033,1997/1998,Count,Hospital Discharges,333
S12000033,1998/1999,Count,Hospital Discharges,327
S12000033,2005/2006,Count,Hospital Discharges,405
S12000033,2004/2005,Count,Hospital Discharges,444
S12000033,2006/2007,Count,Hospital Discharges,498
S12000033,2002/2003,Count,Hospital Discharges,432
S12000033,2003/2004,Count,Hospital Discharges,402
S12000040,2006/2007,Count,Hospital Discharges,156
S12000040,2005/2006,Count,Hospital Discharges,135
S12000040,2007/2008,Count,Hospital Discharges,222
S12000040,2003/2004,Count,Hospital Discharges,96
S12000040,2002/2003,Count,Hospital Discharges,90
S12000040,2004/2005,Count,Hospital Discharges,108
S12000040,2011/2012,Count,Hospital Discharges,297
S12000040,2010/2011,Count,Hospital Discharges,219
S12000040,2012/2013,Count,Hospital Discharges,249
S12000040,2008/2009,Count,Hospital Discharges,207
S12000040,2009/2010,Count,Hospital Discharges,201
S12000039,2014/2015,Count,Hospital Discharges,141
S12000039,2013/2014,Count,Hospital Discharges,126
S12000039,2015/2016,Count,Hospital Discharges,183
S12000039,2011/2012,Count,Hospital Discharges,96
S12000039,2010/2011,Count,Hospital Discharges,144
S12000039,2012/2013,Count,Hospital Discharges,114
S12000040,2000/2001,Count,Hospital Discharges,81
S12000040,1999/2000,Count,Hospital Discharges,78
S12000040,2001/2002,Count,Hospital Discharges,90
S12000040,1997/1998,Count,Hospital Discharges,48
S12000040,1998/1999,Count,Hospital Discharges,36
S12000041,2009/2010,Count,Hospital Discharges,87
S12000041,2008/2009,Count,Hospital Discharges,72
S12000041,2010/2011,Count,Hospital Discharges,105
S12000041,2006/2007,Count,Hospital Discharges,36
S12000041,2005/2006,Count,Hospital Discharges,36
S12000041,2007/2008,Count,Hospital Discharges,45
S12000041,2014/2015,Count,Hospital Discharges,129
S12000041,2013/2014,Count,Hospital Discharges,111
S12000041,2015/2016,Count,Hospital Discharges,81
S12000041,2011/2012,Count,Hospital Discharges,102
S12000041,2012/2013,Count,Hospital Discharges,72
S12000041,1998/1999,Count,Hospital Discharges,24
S12000041,1997/1998,Count,Hospital Discharges,30
S12000041,1999/2000,Count,Hospital Discharges,27
S12000040,2014/2015,Count,Hospital Discharges,267
S12000040,2013/2014,Count,Hospital Discharges,249
S12000040,2015/2016,Count,Hospital Discharges,261
S12000041,2003/2004,Count,Hospital Discharges,30
S12000041,2002/2003,Count,Hospital Discharges,39
S12000041,2004/2005,Count,Hospital Discharges,24
S12000041,2000/2001,Count,Hospital Discharges,33
S12000041,2001/2002,Count,Hospital Discharges,27
S12000038,2001/2002,Count,Hospital Discharges,126
S12000038,2000/2001,Count,Hospital Discharges,96
S12000038,2002/2003,Count,Hospital Discharges,132
S12000038,1998/1999,Count,Hospital Discharges,78
S12000038,1997/1998,Count,Hospital Discharges,48
