Under 18.5,10,2,0,1,1,0,1,2
18.5 to less than 25,4,3,1,2,1,1,1,2
25 to less than 30,49,35,34,19,25,20,24,30
30 to less than 40,34,40,39,41,44,43,52,41
40 and over,12,19,22,35,27,33,23,24
Under 18.5,0,3,3,4,3,3,-,2
18.5 to less than 25,7,2,1,2,0,1,2,2
25 to less than 30,50,43,38,30,27,26,36,35
30 to less than 40,26,31,28,35,38,37,37,33
40 and over,15,20,28,28,28,31,22,25
Under 18.5,2,4,5,5,7,5,3,5
18.5 to less than 25,5,3,1,2,1,1,2,2
25 to less than 30,50,39,36,24,26,23,30,33
30 to less than 40,31,35,34,38,41,40,44,37
40 and over,13,19,25,32,27,32,22,25
