FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S92000003,2014,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2011,95% Upper Confidence Limit,Percent Of Children,1.1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2012,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2011,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2018,95% Upper Confidence Limit,Percent Of Children,1.6,Self-assessed general health (children): Bad/Very bad,All
S92000003,2011,Percent,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2016,95% Upper Confidence Limit,Percent Of Children,1.6,Self-assessed general health (children): Bad/Very bad,All
S92000003,2016,95% Lower Confidence Limit,Percent Of Children,0.4,Self-assessed general health (children): Bad/Very bad,All
S92000003,2016,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2010,95% Upper Confidence Limit,Percent Of Children,1.6,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2010,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2010,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2014,95% Upper Confidence Limit,Percent Of Children,1.2,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2012,95% Upper Confidence Limit,Percent Of Children,0.8,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2016,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2008,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2015,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2015,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2015,95% Upper Confidence Limit,Percent Of Children,1.1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2012,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2012,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Children,1.7,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2012,Percent,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,All
S92000003,2012,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2018,95% Lower Confidence Limit,Percent Of Children,0.5,Self-assessed general health (children): Bad/Very bad,All
S92000003,2018,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2015,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,All
S92000003,2016,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2012,95% Upper Confidence Limit,Percent Of Children,0.8,Self-assessed general health (children): Bad/Very bad,All
S92000003,2014,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Children,1.3,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2010,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2008,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2010,95% Upper Confidence Limit,Percent Of Children,1.7,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2010,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2018,95% Upper Confidence Limit,Percent Of Children,1.9,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2013,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2009,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2009,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2019,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2015,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2010,95% Upper Confidence Limit,Percent Of Children,1.5,Self-assessed general health (children): Bad/Very bad,All
